date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,selling fees,fba fees,other transaction fees,other,total
"Jan 3, 2017 7:29:09 PM PST",6257305731,FBA Customer Return Fee,107-1247689-3847464,,FBA Customer Return Weight Based Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1.95,0,0,-1.95
"Jan 3, 2017 8:29:11 PM PST",6257305731,Refund,002-7812077-9060225,D5012-TOMATORED-L,Annabelle Women's Solid Color Convertible Multiway Maxi Dresses Tomato Red Large,1,amazon.com,Amazon,St. Louis,Mo,63124,-24.47,0,0,0,0,2.94,0,0,0,-21.53
"Jan 3, 2017 8:40:29 PM PST",6257305731,Order,108-5371983-2389853,J8005-TEAL-S,Annabelle Women's Long Sleeve Comfy Harem Tie Dye Jumpsuit Romper with Pockets Teal Small J8005,1,amazon.com,Amazon,Staten Island,NY,10304-4023,24.47,2.82,0,-2.82,0,-3.67,-2.42,0,0,18.38
"Jan 3, 2017 8:40:29 PM PST",6257305731,Order,108-5371983-2389853,J8002-BLACK-S,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Small J8002,1,amazon.com,Amazon,Staten Island,NY,10304-4023,22.95,2.82,0,-2.82,0,-3.44,-3.42,0,0,16.09
"Jan 3, 2017 8:57:53 PM PST",6257305731,FBA Customer Return Fee,108-0820167-2522604,,FBA Customer Return Per Order Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1,0,0,-1
"Jan 3, 2017 8:57:53 PM PST",6257305731,FBA Customer Return Fee,108-0820167-2522604,,FBA Customer Return Per Unit Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1.46,0,0,-1.46
"Jan 3, 2017 8:57:53 PM PST",6257305731,FBA Customer Return Fee,108-0820167-2522604,,FBA Customer Return Weight Based Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1.95,0,0,-1.95
"Jan 3, 2017 9:29:38 PM PST",6257305731,Order,116-6820631-3729064,D5015-MAUVE-M,Annabelle Women's Long Sleeve Hi Low Rib Dress Pink Mauve Medium D5015,1,amazon.com,Amazon,SAN FRANCISCO,CA,94122-1525,24.47,0,0,0,2.08,-3.67,-3.42,-0.06,0,19.4
"Jan 3, 2017 9:49:52 PM PST",6257305731,Order,103-7732359-6438650,J8002-HCHARCOAL-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Heather Charcoal Large J8002,1,amazon.com,Amazon,Fort Washington,MD,20744,22.95,0,0,0,0,-3.44,-4.41,0,0,15.1
"Jan 3, 2017 10:18:25 PM PST",6257305731,Order,116-8238287-5793055,J8002-BLACK-M,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Medium J8002,1,amazon.com,Amazon,Forest Hills,New York,11375,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 3, 2017 10:20:59 PM PST",6257305731,Order,104-4495377-2745842,J8004-MGREY-L,Annabelle Women's Comfy Rayon Solid Color Sleeveless Harem Jumpsuits Charcoal Mid Grey Large J8004,1,amazon.com,Amazon,Lansdale,PA,19466,17.47,0,0,0,0,-2.62,-3.42,0,0,11.43
"Jan 3, 2017 11:34:09 PM PST",6257305731,Order,107-6946033-1456266,J8002-HCHARCOAL-M,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Heather Charcoal Medium J8002,1,amazon.com,Amazon,PHILADELPHIA,PA,19145-1217,22.95,0,0,0,0,-3.44,-4.41,0,0,15.1
"Jan 4, 2017 12:21:14 AM PST",6257305731,Order,104-2216145-7637821,T1021-FADEDDENIM-L,Women's Long Sleeve Tunic Hoodie Pocket Sweatshirt Top Light Blue Faded Denim Large T1021,1,amazon.com,Amazon,CORAM,NY,11727-1133,13.97,0,0,0,0,-2.1,-3.42,0,0,8.45
"Jan 4, 2017 1:27:53 AM PST",6257305731,Order,113-0927688-2647444,J8002-NAVY-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Navy Large J8002,1,amazon.com,Amazon,SHORELINE,WA,98155-6451,22.95,0,0,0,0,-3.44,-4.41,0,0,15.1
"Jan 4, 2017 1:31:23 AM PST",6257305731,Order,113-9664924-6278647,J8002-BLACK-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Large J8002,1,amazon.com,Amazon,Bear,DE,19701,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 4, 2017 1:33:17 AM PST",6257305731,Order,104-5725360-4950668,J8002-BLACK-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Large J8002,1,amazon.com,Amazon,STONYBROOK,NY,11794,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 4, 2017 1:41:21 AM PST",6257305731,Order,102-8668103-6320219,J8002-BLACK-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Large J8002,1,amazon.com,Amazon,BAKERSFIELD,CA,93312-5523,22.95,0,0,0,1.66,-3.44,-3.42,-0.05,0,17.7
"Jan 4, 2017 2:27:26 AM PST",6257305731,Order,103-8546060-0975419,J8002-ANTHRA-M,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Anthra Medium 8002,1,amazon.com,Amazon,BUFORD,GA,30519-7182,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 4, 2017 2:30:31 AM PST",6257305731,Order,107-4523834-9483437,J8005-TEAL-L,Annabelle Women's Long Sleeve Comfy Harem Tie Dye Jumpsuit Romper with Pockets Teal Large J8005,1,amazon.com,Amazon,PENSACOLA,FL,32507-8606,24.47,0,0,0,0,-3.67,-4.41,0,0,16.39
"Jan 4, 2017 3:21:52 AM PST",6257305731,Order,113-4594535-0635463,J8002-BLACK-S,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Small J8002,1,amazon.com,Amazon,Lexington,KY,40502,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 4, 2017 3:25:07 AM PST",6257305731,Order,104-2677910-4426626,J8002-BURGUNDY-M,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Burgundy Medium J8002,1,amazon.com,Amazon,Arlington,Tn,38002,22.95,0,0,0,0,-3.44,-4.41,0,0,15.1
"Jan 4, 2017 3:50:58 AM PST",6257305731,FBA Customer Return Fee,103-3808812-1871459,,FBA Customer Return Per Order Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1,0,0,-1
"Jan 4, 2017 3:50:58 AM PST",6257305731,FBA Customer Return Fee,103-3808812-1871459,,FBA Customer Return Per Unit Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1.46,0,0,-1.46
"Jan 4, 2017 3:50:58 AM PST",6257305731,FBA Customer Return Fee,103-3808812-1871459,,FBA Customer Return Weight Based Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1.95,0,0,-1.95
"Jan 4, 2017 4:27:47 AM PST",6257305731,Adjustment,103-1141974-4702619,J8002-BLACK-L,FBA Inventory Reimbursement - Customer Return,1,,,,,,0,0,0,0,0,0,0,0,4,4
"Jan 4, 2017 8:58:20 AM PST",6257305731,Service Fee,,,Cost of Advertising,,,,,,,0,0,0,0,0,0,0,-164.32,0,-164.32
"Jan 4, 2017 9:06:28 AM PST",6257305731,Order,105-0022909-2441817,J8002-ANTHRA-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Anthra Large 8002,1,amazon.com,Amazon,Dayton,OH,45424-5760,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 4, 2017 10:25:08 AM PST",6257305731,Refund,106-2691939-4697832,J8002-BLACK-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Large J8002,1,amazon.com,Amazon,Bexley,OH,43209-2147,-22.95,0,0,0,0,2.75,0,0,0,-20.2
"Jan 4, 2017 10:44:06 AM PST",6257305731,Refund,109-4323726-8784217,J8002-JAVA-S,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Java Small J8002,1,amazon.com,Amazon,ESTERO,FL,33928-2380,0,0,0,0,0,0,0,0,-2.33,-2.33
"Jan 4, 2017 10:54:17 AM PST",6257305731,Order,114-9207083-1545053,J8002-BLACK-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Large J8002,1,amazon.com,Amazon,LAKE CHARLES,LA,70605-6612,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 4, 2017 10:56:22 AM PST",6257305731,FBA Customer Return Fee,102-0961526-4789054,,FBA Customer Return Per Order Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1,0,0,-1
"Jan 4, 2017 10:56:22 AM PST",6257305731,FBA Customer Return Fee,102-0961526-4789054,,FBA Customer Return Per Unit Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1.46,0,0,-1.46
"Jan 4, 2017 10:56:22 AM PST",6257305731,FBA Customer Return Fee,102-0961526-4789054,,FBA Customer Return Weight Based Fee,,Amazon.com,,,,,0,0,0,0,0,0,-1.95,0,0,-1.95
"Jan 4, 2017 11:01:44 AM PST",6257305731,Order,108-2961727-7087448,J8002-BLACK-L,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Large J8002,1,amazon.com,Amazon,Atlanta,GA,30331,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 4, 2017 11:23:37 AM PST",6257305731,FBA Inventory Fee,161227145A,,FBA Removal Order: Return Fee,,Amazon.com,,,,,0,0,0,0,0,0,0,0,-2,-2
"Jan 4, 2017 11:50:55 AM PST",6257305731,Order,111-2780351-2918656,D5014-MAUVE-L,Annabelle Women's Dolman Sleeves Boat Neck Rib Dress Pink Mauve Large D5014,1,amazon.com,Amazon,MADISON,AL,35757-7632,20.97,0,0,0,0,-3.15,-3.42,0,0,14.4
"Jan 4, 2017 12:36:01 PM PST",6257305731,Order,105-0727022-8813862,J8002-BLACK-S,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Black Small J8002,1,amazon.com,Amazon,NEW ORLEANS,LA,70119-7400,22.95,0,0,0,0,-3.44,-3.42,0,0,16.09
"Jan 4, 2017 1:12:05 PM PST",6257305731,Order,104-8540720-1644265,J8002-OLIVE-S,Annabelle Women's Long Sleeve Comfy Harem Jumpsuit Romper with Pockets Olive Small 8002,1,amazon.com,Amazon,APOPKA,FL,32703-6731,17.95,0,0,0,0,-2.69,-3.42,0,0,11.84
